Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Neukammer I,Europe,Germany,Neukammer I,Operational,,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Neukammer,52.58,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Kleinbrembach,Europe,Germany,Kleinbrembach,Operational,ewz Windpark Kleinbrembach GmbH,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.0,,,20/09/2021,,Kleinbrembach,51.1261269,11.2721376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Bredow,Europe,Germany,Bredow,Operational,,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.5,,,20/09/2021,,Bredow,52.5859511,12.9289327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Heckelberg,Europe,Germany,Heckelberg,Operational,Windpark Heckelberg-Breydin,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,27.0,,,20/09/2021,,Heckelberg,52.7309771,13.8004204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Großenehrich,Europe,Germany,Großenehrich,Operational,,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,22.0,,,20/09/2021,,Großenehrich,51.25,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Bippen WPP,Europe,Germany,Bippen WPP,Operational,BKW,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,27.6,,,20/09/2021,Project developed by WPD and sold to BKW (Switzerland) in December 2011.,Bippen,52.5813221,7.7399755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Erfurt-Kerspleben - I,Europe,Germany,Erfurt-Kerspleben - I,Operational,Windpark Katzenberg GmbH & Co. KG,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,11.9,,,20/09/2021,,Erfurt-Kerspleben,51.008889,11.101944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Drochtersen,Europe,Germany,Drochtersen,Operational,Windfeld Drochtersen Netz- und Abrechnungs GbR,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,11.0,,,20/09/2021,,Drochtersen,53.69,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Lohne,Europe,Germany,Lohne,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.0,,,20/09/2021,,Lohne,52.1941419,8.7220862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Prützke II,Europe,Germany,Prützke II,Operational,,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.5,,,20/09/2021,,Prützke,52.33,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Hangelberg,Europe,Germany,Hangelberg,Operational,WPD,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,18.0,,,20/09/2021,,Gransee,48.32,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Elster III,Europe,Germany,Elster III,Operational,WSB,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,13.8,,,20/09/2021,,Elster,51.82,12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Dahlenburg,Europe,Germany,Dahlenburg,Operational,Windpark Dahlenburg GmbH & Co. KG,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,35.3,,,20/09/2021,,Dahlenburg,53.1878413,10.7397201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
Jürgenshagen,Europe,Germany,Jürgenshagen,Operational,Windpark Jürgenshagen GmbH & Co.Betriebs-KG Renditefonds,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,11.8,,,20/09/2021,,Jürgenshagen,53.953798,11.8971483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Görlitz - I,Europe,Germany,Görlitz - I,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,21.2,,,20/09/2021,,Görlitz,51.15,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
